unique_id,mean_self_report
563522777,2.67
965314508,1
456445084,1
339232704,2
233735378,1.67
759418836,1
614285355,1
692009266,1
246532124,4
47022865,1
867476338,1
940229231,3
422087765,1
100125154,2.33
373740279,1
699441423,1
237498336,1
882246022,1
216287717,3.33
952386283,2.33
954130481,1
561842983,1
591041139,3.67
287027128,1
752580117,1
234276163,1
684265529,1
506524197,2
994692692,1.33
72442795,1.67
161234436,6.67
102678881,1
557207580,1
530863876,2.67
85445170,1
586346915,1
238678139,1
343944905,4.67
13708908,1
325830955,4.33
317124448,1
902223169,2.67
494447594,1
293831276,1
589607780,1
187172011,1
764499289,1.67
238079276,1.67
855399085,1
727031797,1
881713870,5.33
797453632,1
311497290,3
681045009,3
247697997,2
694264273,2.33
254118946,2.67
658421880,1
295696078,1
637668138,2
236383059,1
841303698,1
893377996,NA
564734227,1.67
874662429,3
199802590,5.67
108266335,1
246374429,1
751712225,1
386456897,1.33
920212493,1.33
477618299,1
14943693,1.33
4345805,3
175188025,1
524337317,1.67
