"subject"	"Liking_2"	"Expect_2neg"	"Expect_2pos"	"Liking_1"	"Expect_1neg"	"Expect_1pos"	"instructionclarity"	"instructionbelief"	"US1val"	"US2val"	"Group"	"IATorder"	"CSneg"	"valence"	"memory1_response"	"memory2_response"	"concorr"	"memory1_2_response"	"memory2_2_response"	"concorr2"	"expl1_response"	"expl2_response"
"1"	6	0	6	7	0	8	4	5	5	-3	1	6	2	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"neutral"	"neutral"
"2"	7	-7	9	1	3	1	9	7	9	-3	2	7	1	2	2	"Never followed by the UNPLEASANT sound"	"Never followed by the PLEASANT sound"	0	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Scream "	"Baby"
"3"	12	0	8	1	0	1	1	6	7	-2	2	4	2	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"s for sad  "	"m for merry or m for miserable"
"4"	15	-3	8	3	0	3	7	7	9	-5	1	7	1	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"I associated STRUAN with the negative sound which made it easier to categorize the posiitive and negative words. "	"the same for MORAG. "
"5"	19	7	4	4	0	5	5	8	8	-4	0	3	1	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"screaming"	"laughter"
"6"	20	0	5	5	-1	5	5	8	9	-4	-2	4	2	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I have no idea what you're talking about"	"I have no idea what you're talking about"
"7"	21	0	1	9	0	2	7	8	7	-5	4	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Horror, bad, frightening "	"baby, nice, laughter "
"8"	22	6	1	9	0	8	1	7	7	-3	3	6	2	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"bad"	"good"
"9"	23	0	8	2	0	1	9	9	9	0	2	7	1	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"I have not use any particular words, just instinct.  "	"Same case as STRUAN I have not used any particular words."
"10"	28	0	8	1	0	1	9	9	9	-3	4	4	2	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"scream"	"laugh"
