"subject"	"IAT1"	"IAT1_odd"	"IAT1_even"	"IAT1_block1"	"Liking_2"	"Expect_2neg"	"Expect_2pos"	"Liking_1"	"Expect_1neg"	"Expect_1pos"	"instructionclarity"	"instructionbelief"	"US1val"	"US2val"	"Group"	"IATorder"	"CSneg"	"valence"	"memory1_response"	"memory2_response"	"concorr"	"memory1_2_response"	"memory2_2_response"	"concorr2"	"expl1_response"	"expl2_response"	"lat_comp"	"lat_incomp"	"exp_neg_CSneg"	"exp_neg_CSpos"	"exp_pos_CSneg"	"exp_pos_CSpos"	"ExpNegDiff"	"ExpPosDiff"	"Liking1_CSneg"	"Liking1_CSpos"
"1"	6	-0.3938	0.5143	0.3471	"incompatibletest1"	0	6	7	0	8	4	5	5	-3	1	6	2	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"neutral"	"neutral"	941.583333333333	786.366666666667	8	6	4	7	2	3	0	0
"2"	7	1.066	1.4311	0.6137	"compatibletest1"	-7	9	1	3	1	9	7	9	-3	2	7	1	2	2	"Never followed by the UNPLEASANT sound"	"Never followed by the PLEASANT sound"	0	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Scream "	"Baby"	566.383333333333	823.4	9	1	1	9	8	8	-7	3
"3"	12	-0.2014	0.2189	0.1377	"incompatibletest1"	0	8	1	0	1	1	6	7	-2	2	4	2	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"s for sad  "	"m for merry or m for miserable"	594.966666666667	570.466666666667	8	1	1	1	7	0	0	0
"4"	15	0.6343	0.5454	0.7092	"compatibletest1"	-3	8	3	0	3	7	7	9	-5	1	7	1	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"I associated STRUAN with the negative sound which made it easier to categorize the posiitive and negative words. "	"the same for MORAG. "	694.033333333333	820.566666666667	8	3	3	7	5	4	-3	0
"5"	19	-0.3724	-0.0699	-0.5551	"compatibletest1"	7	4	4	0	5	5	8	8	-4	0	3	1	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"screaming"	"laughter"	891.3	782.216666666667	4	5	4	5	-1	1	7	0
"6"	20	-0.3283	0.4869	0.1347	"incompatibletest1"	0	5	5	-1	5	5	8	9	-4	-2	4	2	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I have no idea what you're talking about"	"I have no idea what you're talking about"	846.666666666667	747.633333333333	5	5	5	5	0	0	0	-1
"7"	21	0.3029	0.3684	0.1955	"compatibletest1"	0	1	9	0	2	7	8	7	-5	4	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Horror, bad, frightening "	"baby, nice, laughter "	626.483333333333	687.566666666667	2	1	7	9	1	2	0	0
"8"	22	0.1371	-0.1868	-0.0504	"incompatibletest1"	6	1	9	0	8	1	7	7	-3	3	6	2	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"bad"	"good"	629.533333333333	671.266666666667	8	1	1	9	7	8	0	6
"9"	23	0.8049	0.9809	0.6864	"compatibletest1"	0	8	2	0	1	9	9	9	0	2	7	1	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"I have not use any particular words, just instinct.  "	"Same case as STRUAN I have not used any particular words."	692.433333333333	990.35	8	1	2	9	7	7	0	0
"10"	28	-0.1479	0.1599	0.1364	"incompatibletest1"	0	8	1	0	1	9	9	9	-3	4	4	2	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"scream"	"laugh"	769.883333333333	735.3	8	1	1	9	7	8	0	0
