"subject"	"IAT1"	"IAT1_odd"	"IAT1_even"	"IAT1_block1"	"Liking_1"	"Expect_1"	"measureorder"	"Liking_2"	"Expect_2"	"measureorder2"	"USaversiveness"	"instructionclarity"	"instructionbelief"	"Group"	"Contingency"	"Cooccurrence"	"Csplus"	"presorder"	"measorder"	"memory1_response"	"Expect1_CSplus"	"Expect1_CSmin"	"Liking1_CSplus"	"Liking1_CSmin"
"1"	2	-0.1803	0.0817	0.4458	"incompatibletest1"	-2.15264883518469	-1.17664452860365	1	-2.24835784723036	0.518157895856686	1	5	9	4	2	1	1	1	2	1	"8 times followed by the sound, twice not followed"	0.518157895856686	-1.17664452860365	-2.24835784723036	-2.15264883518469
"2"	6	0.3959	-0.5197	-0.1927	"incompatibletest1"	1.20697651452552	-1.17664452860365	1	-1.81425267536141	1.59433198725134	1	5	9	2	6	1	2	1	2	1	"4 times followed by the sound, once not followed"	1.59433198725134	-1.17664452860365	-1.81425267536141	1.20697651452552
"3"	11	0.64	0.9637	0.3155	"compatibletest1"	0.0871013979554501	0.381720800249346	1	-0.0778319878855952	0.518157895856686	1	5	9	6	11	2	1	2	1	1	"8 times followed by the sound, 8 times not followed"	0.518157895856686	0.381720800249346	-0.0778319878855952	0.0871013979554501
"4"	16	-0.4458	0.3697	0.5187	"incompatibletest1"	0.0871013979554501	1.16090346467585	1	-0.0778319878855952	-0.916740892669522	1	4	9	8	16	2	2	2	2	1	"4 times followed by the sound, 4 times not followed"	1.16090346467585	-0.916740892669522	0.0871013979554501	-0.0778319878855952
"5"	17	-0.4836	-0.7065	-0.2878	"compatibletest1"	-0.808798695300608	1.5504947968891	2	-0.0778319878855952	-0.916740892669522	2	5	9	6	17	1	1	1	1	2	"8 times followed by the sound, twice not followed"	1.5504947968891	-0.916740892669522	-0.808798695300608	-0.0778319878855952
"6"	18	-0.3844	0.4788	0.2489	"incompatibletest1"	0.0871013979554501	-1.17664452860365	2	-0.0778319878855952	-0.916740892669522	2	-1	6	7	18	1	1	1	2	2	"8 times followed by the sound, twice not followed"	-0.916740892669522	-1.17664452860365	-0.0778319878855952	0.0871013979554501
"7"	19	0.7355	0.6805	0.8288	"compatibletest1"	0.0871013979554501	1.16090346467585	2	-0.0778319878855952	-0.916740892669522	2	4	9	9	19	2	1	1	1	2	"8 times followed by the sound, 8 times not followed"	1.16090346467585	-0.916740892669522	0.0871013979554501	-0.0778319878855952
"8"	20	-0.2571	0.2372	0.28	"incompatibletest1"	-2.15264883518469	0.381720800249346	2	-0.0778319878855952	-0.916740892669522	2	5	9	0	20	2	1	1	2	2	"8 times followed by the sound, 8 times not followed"	-0.916740892669522	0.381720800249346	-0.0778319878855952	-2.15264883518469
"9"	21	0.6047	0.4708	1.1435	"compatibletest1"	1.65492656115355	1.5504947968891	2	1.44153611365574	-0.916740892669522	2	4	7	9	21	1	2	1	1	2	"4 times followed by the sound, once not followed"	1.5504947968891	-0.916740892669522	1.65492656115355	1.44153611365574
"10"	22	0.3648	-0.3718	-0.4316	"incompatibletest1"	0.311076421269464	-1.17664452860365	2	-0.0778319878855952	1.23560729011979	2	2	8	8	22	1	2	1	2	2	"4 times followed by the sound, once not followed"	1.23560729011979	-1.17664452860365	-0.0778319878855952	0.311076421269464
