"subject"	"IAT1"	"IAT1_odd"	"IAT1_even"	"IAT1_block1"	"Liking_1"	"Expect_1"	"measureorder"	"Liking_2"	"Expect_2"	"measureorder2"	"US1valence"	"US2valence"	"instructionclarity"	"instructionbelief"	"Soundcdt"	"Group"	"presorder"	"Contingency"	"Csplus"	"measorder_soundorder"	"nrUSs"	"IATtype"	"concorr"	"lat_comp"	"lat_incomp"	"negUSvalence"	"posUSvalence"	"Expect1_CSplus"	"Expect1_CSmin"	"Liking1_CSplus"	"Liking1_CSmin"
"1"	14408581	0.1689	0.3862	-0.0671	"compatibletest1"	-0.0110212485947447	-1.42077230716022	1	-1.07607736473606	0.991894638673348	1	-3	NA	9	9	1	5	1	1	2	1	1	1	2	669.5	694.35	-3	NA	0.991894638673348	-1.42077230716022	-1.07607736473606	-0.0110212485947447
"2"	27610522	0.1184	-0.3655	0.2351	"incompatibletest1"	-0.0110212485947447	1.56014736832308	2	-0.258882380501719	0.991894638673348	2	4	-4	5	9	2	26	2	1	1	2	2	1	2	850.766666666667	885.733333333333	-4	4	0.991894638673348	1.56014736832308	-0.258882380501719	-0.0110212485947447
"3"	31146522	0.5558	-0.7434	-0.4177	"incompatibletest1"	-2.07356919989697	1.56014736832308	2	-0.0545836344431334	0.991894638673348	2	2	-5	6	9	2	26	2	1	1	2	2	1	2	1090.41666666667	1368.15	-5	2	0.991894638673348	1.56014736832308	-0.0545836344431334	-2.07356919989697
"4"	36947597	0.8122	0.9072	0.7487	"compatibletest1"	-2.07356919989697	-1.42077230716022	2	-2.09757109502899	-0.691242636795675	2	0	NA	9	2	1	13	1	1	2	2	1	1	2	850.166666666667	1174.25	0	NA	-0.691242636795675	-1.42077230716022	-2.09757109502899	-2.07356919989697
"5"	52888907	0.639	0.2906	0.8526	"compatibletest1"	-0.0110212485947447	0.0696875305814321	2	1.17120884190838	-1.02787009188948	2	-4	NA	8	8	1	11	1	2	1	2	1	1	2	1064.78333333333	1586.48333333333	-4	NA	0.0696875305814321	-1.02787009188948	-0.0110212485947447	1.17120884190838
"6"	53719809	0.1573	0.0169	0.3602	"compatibletest1"	-0.0110212485947447	1.18753240888767	1	-0.0545836344431334	-1.02787009188948	1	4	NA	9	9	1	1	1	1	1	1	1	1	2	598.616666666667	634.133333333333	4	NA	1.18753240888767	-1.02787009188948	-0.0110212485947447	-0.0545836344431334
"7"	63407303	0.2664	0.3351	0.2206	"compatibletest1"	1.22650752218659	-1.42077230716022	1	1.17120884190838	-0.0179877266080658	1	-5	NA	9	9	1	7	1	2	2	1	1	1	2	874.616666666667	947.5	-5	NA	-0.0179877266080658	-1.42077230716022	1.17120884190838	1.22650752218659
"8"	73617682	0.6379	-0.6299	-0.6686	"incompatibletest1"	-0.836040429115636	-1.42077230716022	1	0.762611349791207	0.991894638673348	1	5	-4	7	8	2	18	2	1	1	1	2	1	2	544.283333333333	649.75	5	-4	0.991894638673348	-1.42077230716022	0.762611349791207	-0.836040429115636
"9"	86912009	0.7077	0.7806	0.7136	"compatibletest1"	-0.0110212485947447	1.18753240888767	2	-0.0545836344431334	-1.02787009188948	2	-1	NA	9	9	1	9	1	1	1	2	1	1	2	730.233333333333	944.583333333333	-1	NA	1.18753240888767	-1.02787009188948	-0.0110212485947447	-0.0545836344431334
"10"	89219869	0.4403	0.5761	0.2269	"compatibletest1"	-0.836040429115636	0.0696875305814321	2	-0.871778618677474	0.318639728485739	2	-5	-5	6	5	2	29	1	1	2	2	2	1	0	661.966666666667	773.6	-5	-5	0.318639728485739	0.0696875305814321	-0.871778618677474	-0.836040429115636
"11"	91823196	0.8657	-0.8778	-0.8808	"incompatibletest1"	2.05152670270748	-1.42077230716022	2	1.98840382614272	0.655267183579543	2	5	-3	9	9	2	28	2	2	1	2	2	1	2	627.2	828.966666666667	-3	5	0.655267183579543	-1.42077230716022	1.98840382614272	2.05152670270748
"12"	99357459	0.4444	0.5341	0.3247	"compatibletest1"	-1.04229522424586	0.442302490016844	1	1.98840382614272	-1.02787009188948	1	-4	4	9	8	2	19	1	2	1	1	2	1	2	726.233333333333	819.05	-4	4	0.442302490016844	-1.02787009188948	-1.04229522424586	1.98840382614272
"13"	132697943	0.609	0.5949	0.6287	"compatibletest1"	-0.0110212485947447	0.0696875305814321	1	-0.871778618677474	-0.35461518170187	1	-2	3	6	6	2	23	1	2	2	1	2	1	2	759.183333333333	925.8	-2	3	-0.35461518170187	0.0696875305814321	-0.871778618677474	-0.0110212485947447
