date;time;group;subject;session;build;memory1_response;memory1_latency;memory2_response;memory2_latency
27/08/20;18:05:34;784586972;6;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;6806;Always followed by the PLEASANT sound;8888
27/08/20;11:06:52;472786790;7;1;6.2.2;Never followed by the UNPLEASANT sound;12282;Never followed by the PLEASANT sound;6585
27/08/20;12:16:21;211805289;12;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;4974;Always followed by the SECOND sound;2700
27/08/20;11:23:35;487266690;15;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;24258;Always followed by the PLEASANT sound;10479
27/08/20;07:17:27;375052009;29;1;6.2.1;8 times followed by the UNPLEASANT sound, twice not followed by any sound;11445;Always followed by the PLEASANT sound;6642
27/08/20;13:17:36;359456212;28;1;6.2.1;8 times followed by the FIRST sound, twice not followed by any sound;10561;Always followed by the SECOND sound;5587
27/08/20;13:18:41;324252093;89;1;6.2.2;Twice followed by the FIRST sound, 8 times not followed by any sound;6305;Always followed by the SECOND sound;2299
27/08/20;22:17:58;362022444;35;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;9747;Always followed by the SECOND sound;4517
27/08/20;13:18:19;614228688;57;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;17006;Always followed by the SECOND sound;7955
27/08/20;13:17:42;560032387;23;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;44414;Always followed by the PLEASANT sound;6336
27/08/20;13:18:20;657513078;61;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;11337;Always followed by the PLEASANT sound;11343
27/08/20;13:19:45;629875781;112;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;5965;Always followed by the PLEASANT sound;3923
27/08/20;13:19:09;529699244;74;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;9522;Always followed by the SECOND sound;4067
27/08/20;13:18:22;505053106;21;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;12362;Always followed by the PLEASANT sound;5023
27/08/20;13:19:46;597421747;58;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;10231;Always followed by the SECOND sound;4175
27/08/20;13:19:10;190657863;105;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;20401;Twice followed by the SECOND sound, 8 times not followed by any sound;6069
27/08/20;13:19:33;558523116;22;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;15202;Always followed by the PLEASANT sound;3664
27/08/20;13:20:21;65307139;110;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;7395;Always followed by the PLEASANT sound;3123
27/08/20;13:23:52;953884516;101;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;12577;Always followed by the PLEASANT sound;4343
27/08/20;13:18:56;378274368;19;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;9309;Always followed by the SECOND sound;5818
27/08/20;13:19:07;832650172;79;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;11387;Always followed by the PLEASANT sound;9714
27/08/20;13:19:27;908221538;48;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;19524;Always followed by the PLEASANT sound;5043
27/08/20;13:20:07;509660453;54;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;10903;Always followed by the PLEASANT sound;5438
27/08/20;13:18:19;745349592;41;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;38544;Always followed by the SECOND sound;6067
27/08/20;13:19:40;451994888;71;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;20729;Always followed by the PLEASANT sound;6081
27/08/20;08:19:17;128628700;98;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;16417;Always followed by the SECOND sound;12193
27/08/20;13:20:00;252721234;50;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;13808;Always followed by the SECOND sound;20601
27/08/20;13:19:48;495890687;55;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;12068;Always followed by the PLEASANT sound;3690
27/08/20;13:20:13;251959115;59;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;7354;Always followed by the SECOND sound;7705
27/08/20;13:20:01;747505731;93;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;22614;Always followed by the PLEASANT sound;5401
27/08/20;13:18:30;200903139;30;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;4461;Always followed by the PLEASANT sound;48309
27/08/20;13:18:37;389118758;20;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;13644;Always followed by the SECOND sound;4157
27/08/20;13:19:23;57631626;47;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;15162;Always followed by the PLEASANT sound;4100
27/08/20;13:20:15;148770940;96;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;9676;Always followed by the PLEASANT sound;6619
27/08/20;13:21:22;966446379;80;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;8074;Always followed by the PLEASANT sound;7633
