date;time;group;subject;session;build;memory1_2_response;memory1_latency;memory2_2_response;memory2_latency
27/08/20;18:12:50;784586972;6;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;8558;Always followed by the PLEASANT sound;4280
27/08/20;11:13:19;472786790;7;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;4061;Always followed by the PLEASANT sound;3115
27/08/20;12:22:52;211805289;12;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;3609;Always followed by the SECOND sound;3261
27/08/20;11:35:15;487266690;15;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;13408;Always followed by the PLEASANT sound;12631
27/08/20;07:24:00;375052009;29;1;6.2.1;8 times followed by the UNPLEASANT sound, twice not followed by any sound;7215;Always followed by the PLEASANT sound;4317
27/08/20;13:24:27;614228688;57;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;11540;Always followed by the SECOND sound;1679
27/08/20;13:24:37;359456212;28;1;6.2.1;8 times followed by the FIRST sound, twice not followed by any sound;14159;Always followed by the SECOND sound;5286
27/08/20;22:25:00;362022444;35;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;5685;Always followed by the SECOND sound;2272
27/08/20;13:25:07;629875781;112;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;6785;Always followed by the PLEASANT sound;2174
27/08/20;13:25:14;597421747;58;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;5164;Always followed by the SECOND sound;3125
27/08/20;13:25:27;324252093;89;1;6.2.2;Once followed by the FIRST sound, 9 times not followed by any sound;3243;Twice followed by the SECOND sound, 8 times not followed by any sound;3067
27/08/20;13:25:21;657513078;61;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;7745;Always followed by the PLEASANT sound;3803
27/08/20;13:25:49;529699244;74;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;4541;Always followed by the SECOND sound;2783
27/08/20;13:25:51;190657863;105;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;4516;Always followed by the SECOND sound;3805
27/08/20;13:25:53;560032387;23;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;15102;Always followed by the PLEASANT sound;5416
27/08/20;13:26:11;505053106;21;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;7372;Always followed by the PLEASANT sound;4062
27/08/20;13:26:11;558523116;22;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;5847;Always followed by the PLEASANT sound;3728
27/08/20;13:26:17;65307139;110;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;7065;Always followed by the PLEASANT sound;2666
27/08/20;13:30:28;953884516;101;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;9228;Always followed by the PLEASANT sound;3113
27/08/20;13:26:13;908221538;48;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;5639;Always followed by the PLEASANT sound;3691
27/08/20;13:26:44;251959115;59;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;3973;Always followed by the SECOND sound;2207
27/08/20;13:27:02;509660453;54;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;4377;Always followed by the PLEASANT sound;6330
27/08/20;13:27:44;378274368;19;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;10734;Always followed by the SECOND sound;3327
27/08/20;13:28:07;200903139;30;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;7053;Always followed by the PLEASANT sound;2148
