"","subject","sex_response","age_response","Comp_pn","Comp_gb","Warm_pn","Warm_gb","expComp","expWarm","valExplicit","steIAT","steIATodd","steIATeven","valIAT","valIATodd","valIATeven","sblock_order","block_order","warm_s","comp_s","stExplicit","warm_s1","comp_s1","stExplicit1","condition","mem_c_response","mem_w_response","ok","finish","finishok","nrspexp","expok","nrspiat","iatok"
"1",9,"male",36,-1,-2,2,3,-1.5,2.5,4,0.3046,0.3941,0.2676,0.9147,1.0848,0.8214,"compf","compf",5,5,5,1,1,1,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE
"2",14,"male",56,-1,2,2,2,0.5,2,1.5,-0.9296,-0.9845,-1.131,0.0295,0.2022,-0.0953,"compf","incompf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"3",15,"male",27,2,2,3,3,2,3,1,-0.9599,-0.9493,-0.956,0.85,0.6958,1.0088,"incompf","compf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"4",19,"female",33,2,2,4,4,2,4,2,-0.3752,-0.2321,-0.6118,0.254,0.472,0.0782,"incompf","compf",3,3,3,-1,-1,-1,"niff_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"5",20,"male",18,4,3,2,3,3.5,2.5,-1,-0.5317,-0.3944,-0.6691,0.7479,0.797,0.7642,"incompf","incompf",1,1,1,-3,-3,-3,"niff_w","they were paired with Niffites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE
"6",21,"female",47,4,4,4,4,4,4,0,-0.7776,-0.6334,-1.0544,1.007,0.8728,1.1484,"compf","compf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"7",22,"female",26,3,3,2,2,3,2,-1,-0.3306,-0.5375,-0.0793,0.5959,0.5827,0.5971,"compf","incompf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"8",26,"male",23,2,2,4,2,2,3,1,-0.5093,-0.1847,-0.7748,-0.496,-0.4623,-0.5351,"compf","incompf",6,3,4.5,2,-1,0.5,"niff_w","I don’t remember","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"9",30,"female",21,2,2,2,2,2,2,0,-0.4179,-0.2858,-0.73,0.3817,0.0396,0.5832,"compf","incompf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"10",33,"male",22,3,4,4,3,3.5,3.5,0,0.7646,0.7461,0.8987,0.7358,1.0887,0.374,"compf","compf",6,6,6,2,2,2,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"11",34,"female",22,3,2,4,3,2.5,3.5,1,-0.3664,-0.3713,-0.4447,0.4094,0.6058,0.2625,"compf","incompf",4,4,4,0,0,0,"niff_w","I don’t remember","I don’t remember",1,1,TRUE,2,TRUE,2,TRUE
"12",36,"male",36,4,4,4,4,4,4,0,-0.9923,-0.7911,-1.1807,0.4965,0.5021,0.4727,"incompf","incompf",4,4,4,0,0,0,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE
"13",37,"female",23,0,0,3,4,0,3.5,3.5,0.3259,0.3477,0.4168,1.0668,1.2138,0.9192,"compf","compf",4,4,4,0,0,0,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"14",38,"female",37,4,4,3,3,4,3,-1,0.2466,0.2558,0.2577,-0.0305,0.0449,-0.0751,"compf","incompf",5,5,5,1,1,1,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"15",39,"female",33,4,4,3,4,4,3.5,-0.5,-0.0504,0.1944,-0.3233,1.0356,0.9738,1.0993,"incompf","compf",4,4,4,0,0,0,"luup_w","I don’t remember","I don’t remember",1,1,TRUE,2,TRUE,2,TRUE
"16",43,"male",28,-1,-2,2,3,-1.5,2.5,4,0.5063,0.476,0.8526,0.8789,0.8027,1.0273,"incompf","compf",4,6,5,0,2,1,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE
"17",44,"male",21,3,3,3,3,3,3,0,0.1414,0.1002,0.19,0.2774,0.5936,-0.0649,"incompf","incompf",7,7,7,3,3,3,"niff_w","I don’t remember","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE
"18",45,"male",23,0,0,0,0,0,0,0,-0.307,-0.1289,-0.5346,0.661,0.8002,0.4736,"compf","compf",4,4,4,0,0,0,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"19",46,"female",21,4,3,4,4,3.5,4,0.5,0.1793,0.3019,0.0204,0.6265,0.5621,0.7114,"compf","incompf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"20",48,"female",20,2,3,4,4,2.5,4,1.5,-0.1771,-0.2773,-0.0685,1.0218,0.9798,1.0929,"incompf","incompf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE
"21",49,"male",19,3,3,3,3,3,3,0,0.1283,0.0617,0.3175,0.796,0.7291,0.8615,"compf","compf",6,2,4,2,-2,0,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE
"22",54,"male",28,3,2,4,3,2.5,3.5,1,-0.4587,-0.4282,-0.5458,0.3879,0.6481,0.1503,"compf","incompf",6,5,5.5,2,1,1.5,"luup_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE
