"","subject","sex_response","age_response","Comp_pn","Comp_gb","Warm_pn","Warm_gb","expComp","expWarm","valExplicit","steIAT","steIATodd","steIATeven","valIAT","valIATodd","valIATeven","sblock_order","block_order","warm_s","comp_s","stExplicit","warm_s1","comp_s1","stExplicit1","condition","mem_c_response","mem_w_response","ok","finish","finishok","nrspexp","expok","nrspiat","iatok","assignment","sIATorder","valenceIAT","valenceExplicit","warm_ok","comp_ok","cont_ok"
"1",9,"male",36,-1,-2,2,3,-1.5,2.5,4,0.3046,0.3941,0.2676,0.9147,1.0848,0.8214,"compf","compf",5,5,5,1,1,1,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",0.953633529284875,2.01340346544576,1,1,1
"2",14,"male",56,-1,2,2,2,0.5,2,1.5,-0.9296,-0.9845,-1.131,0.0295,0.2022,-0.0953,"compf","incompf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",-1.32565786504427,0.524957342341978,1,1,1
"3",15,"male",27,2,2,3,3,2,3,1,-0.9599,-0.9493,-0.956,0.85,0.6958,1.0088,"incompf","compf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",0.787038236454898,0.227268117721222,1,1,1
"4",30,"female",21,2,2,2,2,2,2,0,-0.4179,-0.2858,-0.73,0.3817,0.0396,0.5832,"compf","incompf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",-0.418782097892523,-0.36811033152029,1,1,1
"5",46,"female",21,4,3,4,4,3.5,4,0.5,0.1793,0.3019,0.0204,0.6265,0.5621,0.7114,"compf","incompf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",0.211550632938672,-0.0704211068995337,1,1,1
"6",49,"male",19,3,3,3,3,3,3,0,0.1283,0.0617,0.3175,0.796,0.7291,0.8615,"compf","compf",6,2,4,2,-2,0,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",0.647994251712723,-0.36811033152029,1,1,1
"7",63,"male",29,3,4,3,4,3.5,3.5,0,-0.0678,-0.1973,0.0368,-0.0305,-0.6095,0.2932,"incompf","compf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",-1.48015118142446,-0.36811033152029,1,1,1
"8",72,"female",29,1,0,1,3,0.5,2,1.5,-0.0797,0.0152,-0.2087,0.4299,0.5696,0.4101,"incompf","incompf",3,3,3,-1,-1,-1,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",-0.294672467067099,0.524957342341978,1,1,1
"9",80,"male",25,3,3,4,3,3,3.5,0.5,0.1416,-0.2008,0.3901,0.6545,0.8357,0.5373,"incompf","incompf",3,2,2.5,-1,-2,-1.5,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",0.283647513916097,-0.0704211068995337,1,1,1
"10",81,"female",48,3,3,3,3,3,3,0,-0.4231,-0.2313,-0.6193,0.892,0.8982,0.8831,"compf","compf",4,6,5,0,2,1,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",0.895183557921035,-0.36811033152029,1,1,1
