date,time,group,subject,build,sex_response,sex_latency,age_response,age_latency
120219,16:14:01,1,1,4.0.10.0,male,9000,22,9000
120219,15:24:29,5,5,4.0.10.0,male,13455,32,13455
120219,15:26:03,7,7,4.0.10.0,male,32899,21,32899
120219,15:27:17,9,9,4.0.10.0,male,7787,36,7787
120219,15:30:43,14,14,4.0.10.0,male,12482,56,12482
120219,15:30:34,15,15,4.0.10.0,male,6992,27,6992
120219,10:38:34,19,19,4.0.10.0,female,93585,33,93585
120219,15:35:00,20,20,4.0.10.0,male,11271,18,11271
120219,15:35:26,21,21,4.0.10.0,female,18557,47,18557
120219,15:37:17,22,22,4.0.10.0,female,41066,26,41066
120219,15:37:02,26,26,4.0.10.0,male,24049,23,24049
120219,9:37:28,28,28,4.0.10.0,female,40848,24,40848
120219,10:37:01,30,30,4.0.10.0,female,7966,21,7966
120219,10:40:13,33,33,4.0.10.0,male,20696,22,20696
120219,7:40:08,34,34,4.0.10.0,female,8566,22,8566
120219,15:41:08,35,35,4.0.10.0,,13921,,13921
120219,15:41:59,36,36,4.0.10.0,male,13074,36,13074
120219,0:05:58,37,37,4.0.10.0,female,11137,23,11137
120219,10:44:14,38,38,4.0.10.0,female,14638,37,14638
120219,7:44:11,39,39,4.0.10.0,female,11138,33,11138
120219,9:00:57,43,43,4.0.10.0,male,13039,28,13039
120219,11:31:19,44,44,4.0.10.0,male,99648,21,99648
120219,8:46:44,45,45,4.0.10.0,male,16426,23,16426
120319,3:24:44,46,46,4.0.10.0,female,67647,21,67647
120319,1:26:10,48,48,4.0.10.0,female,26140,20,26140
120319,2:25:07,49,49,4.0.10.0,male,13283,19,13283
120319,3:26:42,54,54,4.0.10.0,male,51432,28,51432
120319,2:27:01,56,56,4.0.10.0,male,14574,23,14574
120319,3:27:10,57,57,4.0.10.0,male,10554,19,10554
120319,0:27:19,58,58,4.0.10.0,female,23484,23,23484
120319,8:27:55,61,61,4.0.10.0,female,20207,25,20207
120319,0:28:26,63,63,4.0.10.0,male,14958,29,14958
120319,0:31:38,68,68,4.0.10.0,male,110014,21,110014
120319,0:28:59,70,70,4.0.10.0,male,25405,20,25405
120319,17:34:17,71,71,4.0.10.0,female,75362,34,75362
120319,1:28:44,72,72,4.0.10.0,female,11717,29,11717
120319,3:29:58,73,73,4.0.10.0,male,53351,28,53351
120319,0:33:32,75,75,4.0.10.0,male,37958,31,37958
120319,8:31:07,76,76,4.0.10.0,male,11256,27,11256
120319,8:40:19,77,77,4.0.10.0,female,28605,22,28605
120319,4:07:08,80,80,4.0.10.0,male,35354,25,35354
120319,9:33:02,81,81,4.0.10.0,female,14830,48,14830
120319,3:34:02,86,86,4.0.10.0,female,14391,34,14391
120319,2:25:37,91,91,4.0.10.0,male,26843,34,26843
120319,10:27:39,92,92,4.0.10.0,female,219915,60,219915
120319,4:28:24,94,94,4.0.10.0,male,22149,42,22149
120319,10:27:58,99,99,4.0.10.0,male,23026,29,23026
120319,2:28:48,101,101,4.0.10.0,female,26701,50,26701
120319,5:43:25,102,102,4.0.10.0,female,14403,18,14403
120319,10:32:44,104,104,4.0.10.0,female,38746,18,38746
120319,10:31:59,105,105,4.0.10.0,male,66849,22,66849
120319,3:30:17,106,106,4.0.10.0,male,18035,36,18035
120319,10:31:14,108,108,4.0.10.0,male,17584,35,17584
120319,10:31:51,109,109,4.0.10.0,male,24467,22,24467
120319,10:31:32,110,110,4.0.10.0,female,6240,25,6240
120319,2:34:01,113,113,4.0.10.0,male,12063,35,12063
120319,10:34:02,114,114,4.0.10.0,female,12171,32,12171
120319,4:33:37,116,116,4.0.10.0,female,24762,28,24762
120319,10:35:20,119,119,4.0.10.0,female,52393,29,52393
120319,2:33:27,120,120,4.0.10.0,male,11317,30,11317
120319,10:34:42,121,121,4.0.10.0,female,15204,30,15204
120319,10:35:59,122,122,4.0.10.0,female,10738,23,10738
120319,10:29:51,127,127,4.0.10.0,male,14457,30,14457
120319,2:37:03,128,128,4.0.10.0,male,32695,22,32695
120319,2:37:40,131,131,4.0.10.0,male,19030,48,19030
120319,10:37:58,134,134,4.0.10.0,male,63830,41,63830
120319,10:41:10,138,138,4.0.10.0,female,11878,31,11878
120319,10:40:05,140,140,4.0.10.0,female,12327,33,12327
120319,2:40:30,142,142,4.0.10.0,female,30830,25,30830
120319,5:43:23,147,147,4.0.10.0,male,27681,40,27681
120319,10:44:02,153,153,4.0.10.0,female,18076,21,18076
120319,10:46:04,157,157,4.0.10.0,female,27287,44,27287
120319,5:45:37,158,158,4.0.10.0,male,10377,58,10377
120319,10:48:19,162,162,4.0.10.0,female,30357,28,30357
120319,10:48:36,165,165,4.0.10.0,female,52464,29,52464
120319,10:48:48,167,167,4.0.10.0,female,10933,63,10933
120319,5:52:20,169,169,4.0.10.0,female,17976,21,17976
120319,10:55:18,173,173,4.0.10.0,female,9120,56,9120
120319,10:55:16,174,174,4.0.10.0,female,8274,32,8274
120319,6:57:04,175,175,4.0.10.0,male,36531,30,36531
120319,10:55:19,176,176,4.0.10.0,female,43761,33,43761
120319,11:56:51,178,178,4.0.10.0,male,10472,26,10472
120319,2:59:34,181,181,4.0.10.0,male,10035,32,10035
120319,10:59:35,183,183,4.0.10.0,male,23696,28,23696
120319,5:04:19,184,184,4.0.10.0,male,34473,32,34473
120319,10:59:25,185,185,4.0.10.0,female,71931,41,71931
120319,10:59:04,186,186,4.0.10.0,male,12720,25,12720
120319,10:59:54,187,187,4.0.10.0,male,11500,27,11500
120319,10:59:27,189,189,4.0.10.0,female,61838,20,61838
120319,11:01:17,190,190,4.0.10.0,male,29330,22,29330
120319,5:02:11,191,191,4.0.10.0,male,11761,21,11761
120319,11:00:58,192,192,4.0.10.0,female,6660,20,6660
120319,3:01:23,195,195,4.0.10.0,male,35902,48,35902
120319,11:02:39,196,196,4.0.10.0,female,17212,20,17212
120319,11:03:37,197,197,4.0.10.0,male,16514,59,16514
120319,6:04:17,198,198,4.0.10.0,male,18108,29,18108
120319,11:03:35,200,200,4.0.10.0,female,45992,27,45992
120319,11:06:33,206,206,4.0.10.0,male,22556,21,22556
120319,11:07:59,212,212,4.0.10.0,female,16617,38,16617
120319,11:09:40,213,213,4.0.10.0,female,26997,21,26997
120319,11:10:50,214,214,4.0.10.0,female,10296,26,10296
120319,11:14:56,219,219,4.0.10.0,female,459376,30,459376
120319,11:15:54,220,220,4.0.10.0,female,28240,20,28240
120319,11:25:33,223,223,4.0.10.0,female,12383,47,12383
120319,11:17:32,224,224,4.0.10.0,female,13538,41,13538
120319,4:17:13,226,226,4.0.10.0,male,23568,52,23568
120319,3:17:32,227,227,4.0.10.0,male,19922,28,19922
120319,6:19:24,230,230,4.0.10.0,female,88277,20,88277
120319,11:20:27,231,231,4.0.10.0,female,241262,30,241262
120319,3:21:14,236,236,4.0.10.0,female,302786,56,302786
120319,11:22:59,239,239,4.0.10.0,male,7857,20,7857
120319,11:23:38,243,243,4.0.10.0,female,24750,22,24750
120319,11:23:32,244,244,4.0.10.0,male,10089,47,10089
120319,11:25:16,245,245,4.0.10.0,female,23627,55,23627
120319,11:26:49,246,246,4.0.10.0,female,10043,20,10043
120319,5:28:23,248,248,4.0.10.0,male,19282,31,19282
120319,11:31:26,250,250,4.0.10.0,female,15524,47,15524
120319,11:31:55,252,252,4.0.10.0,female,5932,21,5932
120319,11:32:32,254,254,4.0.10.0,male,8366,46,8366
120319,6:33:52,257,257,4.0.10.0,female,69230,22,69230
120319,11:38:23,258,258,4.0.10.0,female,244325,30,244325
120319,11:35:44,263,263,4.0.10.0,female,13007,57,13007
120319,11:37:18,265,265,4.0.10.0,female,15648,46,15648
120319,11:38:37,268,268,4.0.10.0,female,41321,40,41321
120319,11:38:11,269,269,4.0.10.0,male,64313,47,64313
120319,5:39:01,271,271,4.0.10.0,female,15303,33,15303
120319,5:40:01,273,273,4.0.10.0,male,7733,20,7733
120319,11:41:10,274,274,4.0.10.0,female,72444,18,72444
120319,11:41:18,275,275,4.0.10.0,male,25428,34,25428
120319,6:45:21,277,277,4.0.10.0,female,28300,37,28300
120319,11:45:16,279,279,4.0.10.0,female,8513,27,8513
120319,11:48:51,280,280,4.0.10.0,female,15096,63,15096
120319,11:47:22,282,282,4.0.10.0,female,17011,29,17011
120319,5:47:16,283,283,4.0.10.0,female,14846,23,14846
120319,5:48:57,285,285,4.0.10.0,male,65556,30,65556
120319,11:54:52,286,286,4.0.10.0,male,228868,18,228868
120319,11:53:03,287,287,4.0.10.0,male,9813,20,9813
120319,11:56:47,292,292,4.0.10.0,male,74629,50,74629
120319,11:58:14,294,294,4.0.10.0,female,20676,20,20676
120319,6:59:24,295,295,4.0.10.0,male,53369,24,53369
120319,6:02:45,297,297,4.0.10.0,male,85416,27,85416
120319,12:03:47,299,299,4.0.10.0,male,6885,33,6885
120319,7:04:44,301,301,4.0.10.0,male,15389,25,15389
120319,12:07:12,302,302,4.0.10.0,female,11357,40,11357
120319,5:08:37,305,305,4.0.10.0,male,23234,21,23234
120319,12:07:27,306,306,4.0.10.0,male,31798,20,31798
120319,5:12:30,309,309,4.0.10.0,male,42728,31,42728
120319,12:18:30,310,310,4.0.10.0,male,69833,23,69833
120319,7:09:11,311,311,4.0.10.0,female,34411,29,34411
120319,12:10:39,312,312,4.0.10.0,male,62746,35,62746
120319,12:10:40,315,315,4.0.10.0,male,7388,20,7388
120319,12:10:34,316,316,4.0.10.0,male,11557,20,11557
120319,5:46:56,317,317,4.0.10.0,male,36324,36,36324
120319,12:12:21,318,318,4.0.10.0,female,8087,25,8087
120319,12:13:10,319,319,4.0.10.0,female,10838,22,10838
120319,12:13:34,320,320,4.0.10.0,female,12213,63,12213
120319,12:13:41,321,321,4.0.10.0,female,150127,48,150127
120319,4:13:36,322,322,4.0.10.0,female,21215,37,21215
120319,12:15:19,324,324,4.0.10.0,female,108025,28,108025
120319,12:16:53,326,326,4.0.10.0,female,23449,43,23449
120319,12:23:07,329,329,4.0.10.0,female,20659,21,20659
120319,7:18:52,330,330,4.0.10.0,female,9973,40,9973
120319,4:19:16,331,331,4.0.10.0,male,19348,21,19348
120319,6:20:58,333,333,4.0.10.0,male,8677,44,8677
120319,6:21:41,334,334,4.0.10.0,female,11431,57,11431
120319,7:24:05,338,338,4.0.10.0,female,13231,40,13231
120319,12:28:38,341,341,4.0.10.0,male,10097,22,10097
120319,7:30:12,344,344,4.0.10.0,male,30736,38,30736
120319,12:30:56,345,345,4.0.10.0,female,22469,21,22469
120319,12:30:49,348,348,4.0.10.0,female,106684,22,106684
120319,7:30:42,349,349,4.0.10.0,male,57432,27,57432
120319,6:34:26,352,352,4.0.10.0,male,15385,33,15385
120319,12:33:59,353,353,4.0.10.0,female,13643,24,13643
120319,12:35:39,355,355,4.0.10.0,female,15891,31,15891
120319,12:36:14,356,356,4.0.10.0,male,8285,18,8285
120319,7:38:38,357,357,4.0.10.0,male,6632,21,6632
120319,6:37:06,360,360,4.0.10.0,male,12175,38,12175
120319,12:37:37,361,361,4.0.10.0,female,14492,21,14492
120319,12:38:48,362,362,4.0.10.0,female,69210,42,69210
120319,7:46:59,363,363,4.0.10.0,female,71385,29,71385
120319,7:41:44,366,366,4.0.10.0,male,108498,33,108498
120319,7:40:38,367,367,4.0.10.0,male,72018,41,72018
120319,12:41:39,368,368,4.0.10.0,female,24512,34,24512
120319,12:42:08,370,370,4.0.10.0,female,16587,55,16587
120319,7:47:34,373,373,4.0.10.0,female,25372,28,25372
120319,12:43:36,374,374,4.0.10.0,female,146352,49,146352
120319,12:45:28,376,376,4.0.10.0,female,34072,18,34072
120319,6:49:16,378,378,4.0.10.0,female,26342,38,26342
120319,12:46:50,380,380,4.0.10.0,male,12473,63,12473
120319,7:48:27,384,384,4.0.10.0,male,67863,34,67863
120319,6:51:14,386,386,4.0.10.0,male,42508,49,42508
120319,8:52:21,387,387,4.0.10.0,male,49068,35,49068
120319,7:55:18,388,388,4.0.10.0,male,19545,51,19545
120319,7:02:01,389,389,4.0.10.0,male,29207,34,29207
120319,8:00:17,402,402,4.0.10.0,male,64656,25,64656
120319,8:02:58,403,403,4.0.10.0,female,172734,49,172734
120319,13:02:11,404,404,4.0.10.0,male,13364,51,13364
120319,5:02:24,407,407,4.0.10.0,male,18127,42,18127
120319,8:04:05,408,408,4.0.10.0,male,286179,39,286179
