"date","time","group","subject","build","competent_response","competent_latency","warm_response","warm_latency",""
"120219","15:32:53","5","5","4.0.10.0","7= Much more strongly with Luupites","2445","7= Much more strongly with Luupites","4426",""
"120219","15:33:37","7","7","4.0.10.0","1= Much more strongly with Niffites","9255","1= Much more strongly with Niffites","4881",""
"120219","15:35:02","9","9","4.0.10.0","5","14632","3","3449",""
"120219","15:37:51","15","15","4.0.10.0","1= Much more strongly with Niffites","4616","7= Much more strongly with Luupites","15993",""
"120219","15:41:21","14","14","4.0.10.0","1= Much more strongly with Niffites","10402","7= Much more strongly with Luupites","4821",""
"120219","10:44:27","30","30","4.0.10.0","2","4300","6","7248",""
"120219","15:45:34","21","21","4.0.10.0","1= Much more strongly with Niffites","6640","7= Much more strongly with Luupites","25428",""
"120219","15:46:24","20","20","4.0.10.0","1= Much more strongly with Niffites","15081","7= Much more strongly with Luupites","27429",""
"120219","07:47:19","34","34","4.0.10.0","4= Equally strongly with Niffites and Luupites","3122","4= Equally strongly with Niffites and Luupites","4234",""
"120219","15:47:44","26","26","4.0.10.0","3","8727","2","7811",""
"120219","10:48:26","33","33","4.0.10.0","6","3719","2","8267",""
"120219","15:48:22","22","22","4.0.10.0","2","14445","6","6135",""
"120219","00:13:20","37","37","4.0.10.0","4= Equally strongly with Niffites and Luupites","4070","4= Equally strongly with Niffites and Luupites","16532",""
"120219","10:51:27","38","38","4.0.10.0","5","7137","3","4133",""
"120219","07:52:03","39","39","4.0.10.0","4= Equally strongly with Niffites and Luupites","5909","4= Equally strongly with Niffites and Luupites","11999",""
"120219","15:52:03","36","36","4.0.10.0","4= Equally strongly with Niffites and Luupites","23520","4= Equally strongly with Niffites and Luupites","11357",""
"120219","10:55:07","19","19","4.0.10.0","3","7841","5","19988",""
"120219","09:09:06","43","43","4.0.10.0","6","7900","4= Equally strongly with Niffites and Luupites","8827",""
"120219","11:40:59","44","44","4.0.10.0","7= Much more strongly with Luupites","7675","1= Much more strongly with Niffites","5311",""
"120219","08:54:59","45","45","4.0.10.0","4= Equally strongly with Niffites and Luupites","1843","4= Equally strongly with Niffites and Luupites","19915",""
"120319","03:32:47","46","46","4.0.10.0","1= Much more strongly with Niffites","10654","7= Much more strongly with Luupites","5774",""
"120319","02:33:04","49","49","4.0.10.0","2","20325","2","3981",""
"120319","03:33:33","54","54","4.0.10.0","5","6358","2","4636",""
"120319","01:34:11","48","48","4.0.10.0","2","12212","6","2899",""
"120319","01:35:02","72","72","4.0.10.0","3","8146","5","3019",""
"120319","03:34:45","57","57","4.0.10.0","6","19315","2","4373",""
"120319","02:35:36","56","56","4.0.10.0","2","12423","7= Much more strongly with Luupites","4674",""
"120319","00:36:49","63","63","4.0.10.0","2","12476","6","7192",""
"120319","00:36:55","58","58","4.0.10.0","7= Much more strongly with Luupites","5547","1= Much more strongly with Niffites","6243",""
"120319","00:37:18","70","70","4.0.10.0","4= Equally strongly with Niffites and Luupites","10583","4= Equally strongly with Niffites and Luupites","3237",""
"120319","08:37:19","61","61","4.0.10.0","7= Much more strongly with Luupites","31458","4= Equally strongly with Niffites and Luupites","19930",""
"120319","08:39:03","76","76","4.0.10.0","2","9091","6","2628",""
"120319","03:39:04","73","73","4.0.10.0","3","6563","5","19262",""
"120319","00:42:01","68","68","4.0.10.0","5","8904","4= Equally strongly with Niffites and Luupites","22204",""
"120319","00:43:32","75","75","4.0.10.0","7= Much more strongly with Luupites","7418","1= Much more strongly with Niffites","15205",""
"120319","17:45:33","71","71","4.0.10.0","2","12432","6","3639",""
"120319","08:49:16","77","77","4.0.10.0","3","17239","5","6704",""
"120319","04:15:35","80","80","4.0.10.0","2","5412","5","15303",""
"120319","03:41:15","86","86","4.0.10.0","1= Much more strongly with Niffites","12178","7= Much more strongly with Luupites","11304",""
"120319","09:43:23","81","81","4.0.10.0","6","9150","4= Equally strongly with Niffites and Luupites","15743",""
"120319","02:32:05","91","91","4.0.10.0","2","6382","6","4719",""
"120319","10:35:52","99","99","4.0.10.0","4= Equally strongly with Niffites and Luupites","5706","3","11382",""
"120319","02:36:47","101","101","4.0.10.0","4= Equally strongly with Niffites and Luupites","29085","5","12716",""
"120319","04:38:26","94","94","4.0.10.0","7= Much more strongly with Luupites","11168","7= Much more strongly with Luupites","5824",""
"120319","10:39:18","109","109","4.0.10.0","7= Much more strongly with Luupites","9211","1= Much more strongly with Niffites","4521",""
"120319","03:39:25","106","106","4.0.10.0","4= Equally strongly with Niffites and Luupites","4026","4= Equally strongly with Niffites and Luupites","8035",""
"120319","10:39:25","110","110","4.0.10.0","5","14423","3","5135",""
"120319","10:40:00","108","108","4.0.10.0","2","4578","6","10292",""
"120319","02:40:04","120","120","4.0.10.0","3","13424","4= Equally strongly with Niffites and Luupites","6486",""
"120319","10:41:41","104","104","4.0.10.0","2","9024","4= Equally strongly with Niffites and Luupites","5663",""
"120319","10:43:32","119","119","4.0.10.0","3","11952","5","4249",""
"120319","10:43:08","114","114","4.0.10.0","7= Much more strongly with Luupites","6033","1= Much more strongly with Niffites","9874",""
"120319","02:43:28","113","113","4.0.10.0","7= Much more strongly with Luupites","15154","1= Much more strongly with Niffites","3972",""
