"date","time","subject","blockcode","blocknum","trialcode","trialnum","response","correct","latency","stimulusnumber1","stimulusitem1","expressions.da","expressions.db","expressions.d"
"120219","16:14:42","1","targetcompatiblepractice","1","targetBright","2","Ctrl+'B'","1","492","1","Maasolup","","","0"
"120219","16:14:42","1","compatibletest2","5","attributeB","1","Ctrl+'B'","1","275","2","Intelligent","","","0"
"120219","16:14:42","1","incompatibletest2","9","attributeB","1","Ctrl+'B'","1","418","3","Skillful","","1.4142135623730949234","0.7071067811865474617"
"120219","15:27:06","5","targetcompatiblepractice","1","targetBright","2","23","0","220502","1","Maasolup","","","0"
"120219","15:27:06","5","targetcompatiblepractice","1","targetAleft","3","18","1","7712","3","Lebbunif","","","0"
"120219","15:27:06","5","targetcompatiblepractice","1","targetAleft","4","18","0","801","2","Eskannif","","","0"
"120219","15:27:06","5","targetcompatiblepractice","1","targetAleft","5","18","1","662","4","Zallunif","","","0"
"120219","15:27:06","5","targetcompatiblepractice","1","targetBright","6","23","0","625","3","Omeelup","","","0"
"120219","15:27:06","5","targetcompatiblepractice","1","targetBright","7","23","0","549","4","Wenaalup","","","0"
"120219","15:27:06","5","targetcompatiblepractice","1","targetBright","8","23","0","92","2","Neenolup","","","0"
"120219","15:27:06","5","targetcompatiblepractice","1","targetBright","9","23","1","149","3","Omeelup","","","0"
"120219","15:27:06","5","targetcompatiblepractice","1","targetBright","10","23","1","228","4","Wenaalup","","","0"
"120219","15:27:06","5","targetcompatiblepractice","1","targetBright","11","23","0","777","1","Maasolup","","","0"
"120219","15:27:06","5","targetcompatiblepractice","1","targetAleft","12","18","0","743","1","Cellanif","","","0"
"120219","15:27:06","5","targetcompatiblepractice","1","targetAleft","13","18","0","334","4","Zallunif","","","0"
"120219","15:27:06","5","targetcompatiblepractice","1","targetBright","14","23","1","318","2","Neenolup","","","0"
"120219","15:27:06","5","targetcompatiblepractice","1","targetBright","15","23","1","174","2","Neenolup","","","0"
"120219","15:27:06","5","targetcompatiblepractice","1","targetAleft","16","18","0","877","1","Cellanif","","","0"
"120219","15:27:06","5","targetcompatiblepractice","1","targetAleft","17","18","0","391","2","Eskannif","","","0"
"120219","15:27:06","5","targetcompatiblepractice","1","targetAleft","18","18","0","52","3","Lebbunif","","","0"
"120219","15:27:06","5","targetcompatiblepractice","1","targetAleft","19","18","1","159","3","Lebbunif","","","0"
"120219","15:27:06","5","targetcompatiblepractice","1","targetAleft","20","18","0","374","1","Cellanif","","","0"
"120219","15:27:06","5","targetcompatiblepractice","1","targetBright","21","23","1","60","4","Wenaalup","","","0"
"120219","15:27:06","5","attributepractice","2","attributeB","2","23","0","1107","1","Competent","","","0"
"120219","15:27:06","5","attributepractice","2","attributeA","3","18","0","948","1","Warm","","","0"
"120219","15:27:06","5","attributepractice","2","attributeB","4","23","1","163","3","Skillful","","","0"
"120219","15:27:06","5","attributepractice","2","attributeA","5","18","1","243","2","Nice","","","0"
"120219","15:27:06","5","attributepractice","2","attributeA","6","18","0","855","4","Caring","","","0"
"120219","15:27:06","5","attributepractice","2","attributeA","7","18","1","178","3","Sociable","","","0"
"120219","15:27:06","5","attributepractice","2","attributeB","8","23","0","272","4","Efficient","","","0"
"120219","15:27:06","5","attributepractice","2","attributeA","9","18","0","266","1","Warm","","","0"
"120219","15:27:06","5","attributepractice","2","attributeB","10","23","1","76","2","Intelligent","","","0"
"120219","15:27:06","5","attributepractice","2","attributeA","11","18","1","103","2","Nice","","","0"
"120219","15:27:06","5","attributepractice","2","attributeA","12","18","0","200","3","Sociable","","","0"
"120219","15:27:06","5","attributepractice","2","attributeB","13","23","1","84","3","Skillful","","","0"
"120219","15:27:06","5","attributepractice","2","attributeB","14","23","0","231","2","Intelligent","","","0"
"120219","15:27:06","5","attributepractice","2","attributeB","15","23","0","243","1","Competent","","","0"
"120219","15:27:06","5","attributepractice","2","attributeB","16","23","0","222","4","Efficient","","","0"
"120219","15:27:06","5","attributepractice","2","attributeA","17","18","1","90","4","Caring","","","0"
"120219","15:27:06","5","attributepractice","2","attributeA","18","18","1","4","1","Warm","","","0"
"120219","15:27:06","5","attributepractice","2","attributeA","19","18","1","9","3","Sociable","","","0"
"120219","15:27:06","5","attributepractice","2","attributeB","20","23","1","103","2","Intelligent","","","0"
"120219","15:27:06","5","attributepractice","2","attributeB","21","23","1","24","3","Skillful","","","0"
"120219","15:27:06","5","compatibletest1","3","attributeA","2","18","1","220","4","Caring","","","0"
"120219","15:27:06","5","compatibletest1","3","targetBright","3","23","0","257","1","Maasolup","-1.3974965891939243878","","-0.6987482945969621939"
"120219","15:27:06","5","compatibletest1","3","attributeA","4","18","1","99","2","Nice","-1.3360098380322777967","","-0.6680049190161388983"
"120219","15:27:06","5","compatibletest1","3","targetAleft","5","18","0","181","2","Eskannif","-1.4723530904968926691","","-0.7361765452484463346"
"120219","15:27:06","5","compatibletest1","3","attributeB","6","23","1","107","1","Competent","-1.4541354451311732099","","-0.7270677225655866049"
"120219","15:27:06","5","compatibletest1","3","targetBright","7","23","0","236","3","Omeelup","-1.5182552841440710711","","-0.7591276420720355356"
"120219","15:27:06","5","compatibletest1","3","attributeA","8","18","1","39","1","Warm","-1.353773669872825991","","-0.6768868349364129955"
"120219","15:27:06","5","compatibletest1","3","targetBright","9","23","1","147","3","Omeelup","-1.4003421942121061505","","-0.7001710971060530753"
"120219","15:27:06","5","compatibletest1","3","attributeA","10","18","0","91","3","Sociable","-1.3855074818006927195","","-0.6927537409003463598"
"120219","15:27:06","5","compatibletest1","3","targetBright","11","23","1","148","1","Maasolup","-1.425177456844471946","","-0.712588728422235973"
"120219","15:27:06","5","compatibletest1","3","attributeB","12","23","0","292","4","Efficient","-1.4079920446074667417","","-0.7039960223037333709"
"120219","15:27:06","5","compatibletest1","3","targetAleft","13","18","1","77","4","Zallunif","-1.3772685657041097151","","-0.6886342828520548576"
"120219","15:27:06","5","compatibletest1","3","attributeB","14","23","0","184","4","Efficient","-1.413775530954723525","","-0.7068877654773617625"
"120219","15:27:06","5","compatibletest1","3","targetAleft","15","18","0","149","1","Cellanif","-1.4382079010742525593","","-0.7191039505371262797"
"120219","15:27:06","5","compatibletest1","3","attributeA","16","18","0","268","2","Nice","-1.4458156566510285135","","-0.7229078283255142567"
"120219","15:27:06","5","compatibletest1","3","targetBright","17","23","1","110","2","Neenolup","-1.4445374613181447554","","-0.7222687306590723777"
"120219","15:27:06","5","compatibletest1","3","attributeB","18","23","0","232","3","Skillful","-1.4658234266176743965","","-0.7329117133088371983"
"120219","15:27:06","5","compatibletest1","3","targetAleft","19","18","1","108","2","Eskannif","-1.4624982944825453135","","-0.7312491472412726567"
"120219","15:27:06","5","compatibletest1","3","attributeB","20","23","1","157","2","Intelligent","-1.4803067154140796546","","-0.7401533577070398273"
"120219","15:27:06","5","compatibletest1","3","targetAleft","21","18","0","92","3","Lebbunif","-1.4685712267395270025","","-0.7342856133697635013"
"120219","15:27:06","5","compatibletest2","5","attributeA","1","18","1","288","4","Caring","-1.4685712267395270025","","-0.7342856133697635013"
"120219","15:27:06","5","compatibletest2","5","targetBright","2","23","1","106","4","Wenaalup","-1.4685712267395270025","-1.0387645916594554496","-1.2536679091994913371"
"120219","15:27:06","5","compatibletest2","5","attributeA","3","18","1","27","2","Nice","-1.4685712267395270025","-0.8822790053405349386","-1.1754251160400310816"
"120219","15:27:06","5","compatibletest2","5","targetBright","4","23","0","168","1","Maasolup","-1.4685712267395270025","-1.05823657031815066","-1.2634038985288387202"
