"date","time","group","subject","build","mem_c_response","mem_c_latency","mem_w_response","mem_w_latency",""
"120219","15:32:53","5","5","4.0.10.0","they were paired with Niffites names and with Luupites names","3266","they were paired with Luupites names","2633",""
"120219","15:33:37","7","7","4.0.10.0","they were paired with Luupites names","3212","they were paired with Niffites names","10350",""
"120219","15:35:02","9","9","4.0.10.0","they were paired with Luupites names","13032","they were paired with Niffites names","3707",""
"120219","15:37:51","15","15","4.0.10.0","they were paired with Niffites names","3203","they were paired with Luupites names","18688",""
"120219","15:41:21","14","14","4.0.10.0","they were paired with Niffites names","8386","they were paired with Luupites names","13258",""
"120219","10:44:27","30","30","4.0.10.0","they were paired with Niffites names","25499","they were paired with Luupites names","3194",""
"120219","15:45:34","21","21","4.0.10.0","they were paired with Niffites names and with Luupites names","36605","they were paired with Niffites names and with Luupites names","9990",""
"120219","07:47:19","34","34","4.0.10.0","I don’t remember","4746","I don’t remember","12208",""
"120219","15:46:24","20","20","4.0.10.0","they were paired with Niffites names","19462","they were paired with Niffites names","23152",""
"120219","15:47:44","26","26","4.0.10.0","I don’t remember","25030","they were paired with Niffites names and with Luupites names","12371",""
"120219","10:48:26","33","33","4.0.10.0","they were paired with Niffites names and with Luupites names","3470","they were paired with Niffites names and with Luupites names","19354",""
"120219","15:48:22","22","22","4.0.10.0","they were paired with Niffites names and with Luupites names","8105","they were paired with Niffites names and with Luupites names","14889",""
"120219","10:51:27","38","38","4.0.10.0","they were paired with Niffites names and with Luupites names","10151","they were paired with Niffites names and with Luupites names","2415",""
"120219","00:13:20","37","37","4.0.10.0","they were paired with Niffites names and with Luupites names","20119","they were paired with Niffites names and with Luupites names","3428",""
"120219","07:52:03","39","39","4.0.10.0","I don’t remember","7422","I don’t remember","21427",""
"120219","15:52:03","36","36","4.0.10.0","they were paired with Niffites names and with Luupites names","25403","they were paired with Niffites names","9598",""
"120219","10:55:07","19","19","4.0.10.0","they were paired with Niffites names","10072","they were paired with Luupites names","17090",""
"120219","09:09:06","43","43","4.0.10.0","they were paired with Niffites names and with Luupites names","12209","they were paired with Niffites names","15562",""
"120219","11:40:59","44","44","4.0.10.0","I don’t remember","26927","they were paired with Niffites names","7509",""
"120219","08:54:59","45","45","4.0.10.0","they were paired with Niffites names and with Luupites names","2961","they were paired with Niffites names and with Luupites names","9252",""
"120319","03:32:47","46","46","4.0.10.0","they were paired with Niffites names","14798","they were paired with Luupites names","3317",""
"120319","03:33:33","54","54","4.0.10.0","they were paired with Luupites names","3376","they were paired with Niffites names","5746",""
"120319","02:33:04","49","49","4.0.10.0","they were paired with Luupites names","4847","they were paired with Niffites names","41505",""
"120319","01:35:02","72","72","4.0.10.0","they were paired with Niffites names","2693","they were paired with Luupites names","9415",""
"120319","01:34:11","48","48","4.0.10.0","they were paired with Niffites names","4488","they were paired with Niffites names and with Luupites names","19988",""
"120319","03:34:45","57","57","4.0.10.0","they were paired with Luupites names","13169","they were paired with Niffites names and with Luupites names","14298",""
"120319","02:35:36","56","56","4.0.10.0","they were paired with Niffites names","7419","they were paired with Niffites names and with Luupites names","17474",""
"120319","00:36:55","58","58","4.0.10.0","they were paired with Niffites names and with Luupites names","6361","they were paired with Niffites names and with Luupites names","12078",""
"120319","00:37:18","70","70","4.0.10.0","they were paired with Niffites names and with Luupites names","2780","they were paired with Niffites names and with Luupites names","9586",""
"120319","00:36:49","63","63","4.0.10.0","they were paired with Niffites names","54848","they were paired with Luupites names","13027",""
"120319","08:37:19","61","61","4.0.10.0","they were paired with Luupites names","8213","I don’t remember","20033",""
