"date","time","group","subject","build","Competent_PN_Positive_Negative_response","Competent_PN_Positive_Negative_latency","Warm_PN_Positive_Negative_response","Warm_PN_Positive_Negative_latency","Competent_GB_Good_Bad_response","Competent_GB_Good_Bad_latency","Warm_GB_Good_Bad_response","Warm_GB_Good_Bad_latency",""
"120219","15:34:58","5","5","4.0.10.0","4     ","2810","4     ","1738","4     ","1544","3     ","1949",""
"120219","15:37:15","7","7","4.0.10.0","1     ","4530","0     ","7002","2     ","3595","-1     ","6988",""
"120219","15:40:09","9","9","4.0.10.0","-1     ","6021","2     ","2244","-2     ","6303","3     ","4447",""
"120219","15:43:06","15","15","4.0.10.0","2     ","5164","3     ","3946","2     ","4728","3     ","5796",""
"120219","15:47:13","14","14","4.0.10.0","-1     ","17514","2     ","7186","2     ","5563","2     ","6355",""
"120219","10:49:45","30","30","4.0.10.0","2     ","6107","2     ","4371","2     ","5910","2     ","2351",""
"120219","15:52:03","21","21","4.0.10.0","4     ","8112","4     ","4683","4     ","8813","4     ","4349",""
"120219","07:52:23","34","34","4.0.10.0","3     ","1477","4     ","4541","2     ","3091","3     ","3302",""
"120219","15:53:14","22","22","4.0.10.0","3     ","4400","2     ","10316","3     ","4146","2     ","5267",""
"120219","10:53:36","33","33","4.0.10.0","3     ","4129","4     ","6729","4     ","5300","3     ","2896",""
"120219","15:53:39","26","26","4.0.10.0","2     ","6837","4     ","6171","2     ","4540","2     ","3340",""
"120219","00:18:24","37","37","4.0.10.0","0     ","6208","3     ","4188","0     ","3774","4     ","7741",""
"120219","15:56:10","20","20","4.0.10.0","4     ","3004","2     ","9643","3     ","6058","3     ","8685",""
"120219","10:56:31","38","38","4.0.10.0","4     ","1886","3     ","4330","4     ","5779","3     ","4679",""
"120219","07:57:28","39","39","4.0.10.0","4     ","7555","3     ","14046","4     ","9672","4     ","3323",""
"120219","16:00:26","36","36","4.0.10.0","4     ","4640","4     ","6720","4     ","5963","4     ","7331",""
"120219","11:00:55","19","19","4.0.10.0","2     ","17059","4     ","7487","2     ","12191","4     ","3870",""
"120219","09:14:17","43","43","4.0.10.0","-1     ","6157","2     ","2364","-2     ","3555","3     ","2352",""
"120219","11:46:32","44","44","4.0.10.0","3     ","7470","3     ","3261","3     ","2854","3     ","3026",""
"120219","09:00:04","45","45","4.0.10.0","0     ","1570","0     ","1529","0     ","1680","0     ","9995",""
"120319","03:37:05","46","46","4.0.10.0","4     ","3983","4     ","2420","3     ","3592","4     ","2383",""
"120319","03:37:39","54","54","4.0.10.0","3     ","4236","4     ","2635","2     ","2714","3     ","2037",""
"120319","02:38:56","49","49","4.0.10.0","3     ","3160","3     ","6522","3     ","4515","3     ","4851",""
"120319","01:38:57","72","72","4.0.10.0","1     ","5341","1     ","1980","0     ","2827","3     ","4029",""
"120319","03:40:07","57","57","4.0.10.0","4     ","5904","4     ","2903","4     ","2425","4     ","3604",""
"120319","01:39:34","48","48","4.0.10.0","2     ","7463","4     ","3998","3     ","5585","4     ","4537",""
"120319","02:40:28","56","56","4.0.10.0","3     ","4360","4     ","3260","3     ","5950","4     ","3459",""
"120319","00:42:16","70","70","4.0.10.0","4     ","2872","4     ","1535","4     ","1739","4     ","5541",""
"120319","00:43:08","58","58","4.0.10.0","3     ","3318","4     ","2557","3     ","7657","4     ","2527",""
"120319","00:43:14","63","63","4.0.10.0","3     ","3114","3     ","5982","4     ","1953","4     ","3182",""
"120319","08:43:43","61","61","4.0.10.0","4     ","2340","4     ","3720","4     ","6139","3     ","4637",""
"120319","08:43:52","76","76","4.0.10.0","0     ","2442","2     ","2770","0     ","4739","2     ","3106",""
"120319","03:44:06","73","73","4.0.10.0","1     ","5508","3     ","7461","1     ","4556","3     ","5589",""
"120319","00:48:21","68","68","4.0.10.0","-1     ","4696","2     ","4513","-1     ","4227","2     ","2504",""
"120319","17:51:23","71","71","4.0.10.0","1     ","4773","2     ","4820","-1     ","14789","1     ","4124",""
"120319","00:51:28","75","75","4.0.10.0","4     ","7579","4     ","3130","4     ","14068","4     ","8367",""
"120319","08:56:00","77","77","4.0.10.0","2     ","4218","-2     ","11253","2     ","2656","-2     ","5642",""
"120319","04:20:13","80","80","4.0.10.0","3     ","2423","4     ","4708","3     ","2468","3     ","2330",""
"120319","03:46:11","86","86","4.0.10.0","  -4     ","10506","4     ","3252","  -4     ","2666","4     ","2750",""
"120319","09:52:24","81","81","4.0.10.0","3     ","7725","3     ","4345","3     ","10133","3     ","6188",""
"120319","10:40:39","99","99","4.0.10.0","3     ","6569","4     ","3452","4     ","2442","3     ","4882",""
"120319","02:42:45","101","101","4.0.10.0","4     ","5282","4     ","11799","4     ","4516","4     ","4372",""
"120319","02:44:24","120","120","4.0.10.0","4     ","7874","4     ","5147","4     ","2904","4     ","4080",""
"120319","04:44:28","94","94","4.0.10.0","4     ","9308","4     ","3683","4     ","2703","4     ","3977",""
"120319","10:44:28","109","109","4.0.10.0","3     ","4875","3     ","2987","3     ","13515","3     ","2055",""
"120319","10:45:20","110","110","4.0.10.0","1     ","6263","4     ","6493","1     ","5039","3     ","6299",""
