date,time,group,subject,session,build,blocknum,trialnum,blockcode,trialcode,pretrialpause,posttrialpause,trialduration,trialtimeout,response,correct,latency
23.06.2022,10:46:30,865687204,548957868,1,06.06.2000,1,2,demographics,age,0,0,0,0,23,1,1372
23.06.2022,10:46:30,865687204,548957868,1,06.06.2000,1,3,demographics,gender,0,0,0,0,23,1,619
23.06.2022,11:54:55,631118150,504546409,1,06.06.2000,1,2,demographics,age,0,0,0,0,old,1,3946
23.06.2022,11:54:55,631118150,504546409,1,06.06.2000,1,3,demographics,gender,0,0,0,0,yes,1,3724
23.06.2022,12:23:32,569179372,994692692,1,06.06.2000,1,2,demographics,age,0,0,0,0,21,1,2576
23.06.2022,12:23:32,569179372,994692692,1,06.06.2000,1,3,demographics,gender,0,0,0,0,female,1,3050
23.06.2022,12:27:58,318655233,246532124,1,06.06.2000,1,2,demographics,age,0,0,0,0,23,1,4311
23.06.2022,12:27:58,318655233,246532124,1,06.06.2000,1,3,demographics,gender,0,0,0,0,Male,1,2793
23.06.2022,12:32:30,318655233,246532124,1,06.06.2000,1,2,demographics,age,0,0,0,0,23,1,6887
23.06.2022,12:32:30,318655233,246532124,1,06.06.2000,1,3,demographics,gender,0,0,0,0,Male,1,1947
23.06.2022,12:33:36,432010222,902223169,1,06.06.2000,1,2,demographics,age,0,0,0,0,19,1,1920
23.06.2022,12:33:36,432010222,902223169,1,06.06.2000,1,3,demographics,gender,0,0,0,0,female,1,3239
23.06.2022,12:35:04,793661124,469672453,1,06.06.2000,1,2,demographics,age,0,0,0,0,27,1,3185
23.06.2022,12:35:04,793661124,469672453,1,06.06.2000,1,3,demographics,gender,0,0,0,0,Male,1,3646
23.06.2022,13:35:40,930613463,637089700,1,06.06.2000,1,2,demographics,age,0,0,0,0,43,1,3103
23.06.2022,13:35:40,930613463,637089700,1,06.06.2000,1,3,demographics,gender,0,0,0,0,male,1,4304
23.06.2022,12:37:12,44150083,4345805,1,06.06.2000,1,2,demographics,age,0,0,0,0,54,1,2666
23.06.2022,12:37:12,44150083,4345805,1,06.06.2000,1,3,demographics,gender,0,0,0,0,Male,1,4482
23.06.2022,13:37:07,433892565,786441188,1,06.06.2000,1,2,demographics,age,0,0,0,0,27,1,4717
23.06.2022,13:37:07,433892565,786441188,1,06.06.2000,1,3,demographics,gender,0,0,0,0,FEMALE,1,8759
23.06.2022,12:41:56,750875114,510787584,1,06.06.2000,1,2,demographics,age,0,0,0,0,34,1,3744
23.06.2022,12:41:56,750875114,510787584,1,06.06.2000,1,3,demographics,gender,0,0,0,0,Female,1,6383
23.06.2022,12:40:13,305030099,684265529,1,06.06.2000,1,2,demographics,age,0,0,0,0,19,1,3595
23.06.2022,12:40:13,305030099,684265529,1,06.06.2000,1,3,demographics,gender,0,0,0,0,non binary,1,11785
23.06.2022,04:40:06,604663550,47022865,1,06.06.2000,1,2,demographics,age,0,0,0,0,21,1,4146
23.06.2022,04:40:06,604663550,47022865,1,06.06.2000,1,3,demographics,gender,0,0,0,0,Male,1,5119
23.06.2022,07:39:25,486315965,199802590,1,06.06.2000,1,2,demographics,age,0,0,0,0,27,1,2860
23.06.2022,07:39:25,486315965,199802590,1,06.06.2000,1,3,demographics,gender,0,0,0,0,Male,1,3332
23.06.2022,12:44:55,942071899,295696078,1,06.06.2000,1,2,demographics,age,0,0,0,0,32,1,2221
